2026-07-23 23:24:12 [INFO] crowddna.robustness: Initializing Robustness Framework...
2026-07-23 23:24:12 [INFO] crowddna.robustness: Starting Evaluation Pipeline. Protocol: robustness
2026-07-23 23:24:12 [INFO] crowddna.robustness: Loading deployment model: experiments\runs\baseline_20260722_230537\deploy\deployment.pt
2026-07-23 23:24:13 [INFO] crowddna.robustness: Executing RobustnessEvaluation...
2026-07-23 23:24:13 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:14 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:14 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:15 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:16 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:16 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:17 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:17 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:17 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:18 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:18 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:18 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:19 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:19 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:19 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:20 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:20 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:20 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:21 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:21 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:21 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:22 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:22 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:22 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:22 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:23 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:23 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:23 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:24 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:24 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:24 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:25 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:25 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:25 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:25 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:25 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:26 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:26 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:26 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:27 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:27 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:27 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:28 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:28 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:28 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:28 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:29 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:29 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:29 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:30 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:30 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:30 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:30 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:30 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:31 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:32 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:32 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:32 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:32 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:32 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:32 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:33 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:33 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:34 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:34 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:34 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:34 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:35 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:35 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:35 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:36 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:36 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:36 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:37 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:37 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:37 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:38 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:38 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:38 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:39 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:39 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:39 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:40 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:40 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:40 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:40 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:40 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:41 [INFO] crowddna.robustness: Calling runtime.predict...
2026-07-23 23:24:41 [INFO] crowddna.robustness: runtime.predict returned.
2026-07-23 23:24:41 [INFO] crowddna.robustness: Metrics updated.
2026-07-23 23:24:42 [INFO] crowddna.robustness: Calling runtime.predict...
